model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24_g75,random,12,0,0.13039537219095124,0.8461538461538461,0.9166666666666666,0.8799999999999999,36,0.8375,0.25,0.6625,0.875,,,,,,,,,
simgp_timeblind,random,12,0,0.26896038900652564,1.0,0.2222222222222222,0.3636363636363636,36,0.35,,,,0.2154988946524401,0.2962962962962963,0.475,,,,,,
mean_of_samples,random,12,0,0.3961017857320752,1.0,0.0,0.0,36,0.0,,,,0.3490902922758199,0.0,0.0,,,,,,
simgp24,random,13,0,0.04687224742789829,1.0,0.9428571428571428,0.9705882352941176,35,1.0,0.8607594936708861,0.9620253164556962,1.0,0.04861909298024834,0.8076923076923077,0.9746835443037974,0.7,0.6,1.0,0.85,0.9,1.1
simgp24_g75,random,13,0,0.10868331006057991,0.9666666666666667,0.8285714285714286,0.8923076923076922,35,0.7341772151898734,0.25316455696202533,0.6075949367088608,0.8354430379746836,,,,,,,,,
simgp_timeblind,random,13,0,0.2788909272237425,1.0,0.22857142857142856,0.3720930232558139,35,0.31645569620253167,,,,0.2276548291572105,0.3076923076923077,0.4430379746835443,,,,,,
mean_of_samples,random,13,0,0.39652001089578603,1.0,0.0,0.0,35,0.0,,,,0.3488271478350395,0.0,0.0,,,,,,
simgp24,random,14,0,0.12656210192606054,0.9722222222222222,1.0,0.9859154929577464,35,0.7307692307692307,0.5,0.6666666666666666,0.7692307692307693,0.04431597650326042,0.8461538461538461,0.9871794871794872,0.7,0.6,1.0,0.85,0.9,1.1
simgp24_g75,random,14,0,0.11978725403823898,0.9666666666666667,0.8285714285714286,0.8923076923076922,35,0.7564102564102564,0.20512820512820512,0.6282051282051282,0.8589743589743589,,,,,,,,,
simgp_timeblind,random,14,0,0.2759068523093954,1.0,0.22857142857142856,0.3720930232558139,35,0.32051282051282054,,,,0.22502767963867482,0.3076923076923077,0.44871794871794873,,,,,,
