model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma
simgp24,straddle,8,2,0.06740995092931296,0.7931034482758621,1.0,0.8846153846153846,23,0.38095238095238093,0.19594340971416718,1.0,0.2976190476190476,0.4,0.6,1.0
simgp24,straddle,9,2,0.06878776181439002,0.7857142857142857,1.0,0.88,22,0.37349397590361444,0.19492272491311063,1.0,0.2891566265060241,0.4,0.6,1.0
simgp24,straddle,10,2,0.07091538218378975,0.9545454545454546,1.0,0.9767441860465117,21,0.34146341463414637,0.2004626815223573,1.0,0.2682926829268293,0.4,0.6,1.0
simgp24,straddle,11,2,0.06849838859622671,0.9523809523809523,1.0,0.975609756097561,20,0.3950617283950617,0.18543403082138205,1.0,0.2222222222222222,0.4,0.6,1.0
simgp24,straddle,12,2,0.053336872362843554,1.0,1.0,1.0,20,0.6125,0.16840422382257936,1.0,0.2375,0.4,0.6,1.0
simgp24,straddle,13,2,0.055799376829430807,1.0,1.0,1.0,19,0.569620253164557,0.17973349149537277,1.0,0.21518987341772153,0.4,0.6,1.0
simgp24,straddle,14,2,0.06603725545245201,1.0,1.0,1.0,18,0.5128205128205128,0.19579464765447668,1.0,0.2692307692307692,0.4,0.6,1.0
simgp24,straddle,15,2,0.06633958963179808,1.0,1.0,1.0,17,0.4675324675324675,0.1972877011538664,1.0,0.2597402597402597,0.4,0.6,1.0
simgp24,straddle_min,3,2,0.05060406671622995,0.8235294117647058,1.0,0.9032258064516129,28,0.8876404494382022,0.22174551909419105,0.8823529411764706,0.3595505617977528,0.4,0.6,0.5
simgp24,straddle_min,4,2,0.05853891394647047,0.9655172413793104,1.0,0.9824561403508771,28,0.9204545454545454,0.21942145398595123,0.8823529411764706,0.375,0.4,0.6,0.5
simgp24,straddle_min,5,2,0.05957869148721714,0.9655172413793104,1.0,0.9824561403508771,28,0.6436781609195402,0.22330790779884285,1.0,0.2988505747126437,0.4,0.6,1.0
simgp24,straddle_min,6,2,0.05227639219676207,1.0,1.0,1.0,27,0.6627906976744186,0.19962789219213473,1.0,0.27906976744186046,0.4,0.6,1.0
simgp24,straddle_min,7,2,0.06987402453062472,0.896551724137931,1.0,0.9454545454545454,26,0.5294117647058824,0.22382773773780254,1.0,0.27058823529411763,0.4,0.6,1.0
simgp24,straddle_min,8,2,0.06096533408571423,0.9285714285714286,1.0,0.962962962962963,26,0.5595238095238095,0.21797849707708908,0.9411764705882353,0.27380952380952384,0.4,0.6,1.0
simgp24,straddle_min,9,2,0.07953904453978308,0.9285714285714286,1.0,0.962962962962963,26,0.2891566265060241,0.207980674776388,0.9411764705882353,0.2891566265060241,0.4,0.6,1.0
simgp24,straddle_min,10,2,0.07837160132626476,0.9629629629629629,1.0,0.9811320754716981,26,0.3048780487804878,0.20762138618668702,0.9411764705882353,0.2804878048780488,0.4,0.6,1.0
simgp24,straddle_min,11,2,0.07815862857740401,1.0,1.0,1.0,26,0.2962962962962963,0.20856418177220765,0.9411764705882353,0.2839506172839506,0.4,0.6,1.0
simgp24,straddle_min,12,2,0.07574099230974324,1.0,1.0,1.0,26,0.3,0.2094207697587295,0.9411764705882353,0.2875,0.4,0.6,1.0
simgp24,straddle_min,13,2,0.05271736539523354,1.0,1.0,1.0,26,0.6455696202531646,0.20827296432410147,0.9411764705882353,0.25316455696202533,0.4,0.6,1.0
simgp24,straddle_min,14,2,0.07657774144062583,1.0,0.92,0.9583333333333334,25,0.8205128205128205,0.18616183534160674,0.8823529411764706,0.6923076923076923,0.4,0.6,1.0
simgp24,straddle_min,15,2,0.2312508219996764,1.0,0.875,0.9333333333333333,24,0.8441558441558441,0.2613027397120928,0.8823529411764706,0.7922077922077922,0.4,0.6,1.0
simgp24,random,3,3,0.14928601177670223,1.0,0.7575757575757576,0.8620689655172413,33,0.8539325842696629,0.13455932276578977,0.9473684210526315,0.9101123595505618,0.1,0.6,1.0
simgp_timeblind,random,3,3,0.20365051856939345,1.0,0.36363636363636365,0.5333333333333333,33,0.4044943820224719,0.1478466126829147,0.5789473684210527,0.6292134831460674,,,
mean_of_samples,random,3,3,0.2484620515987007,1.0,0.0,0.0,33,0.0,0.28779457650343876,0.0,0.0,,,
simgp24,random,4,3,0.17718092070611502,1.0,0.6875,0.8148148148148148,32,0.5795454545454546,0.13801665879483346,0.9444444444444444,0.8636363636363636,0.1,0.6,1.0
simgp_timeblind,random,4,3,0.20472172577945807,1.0,0.28125,0.43902439024390244,32,0.3068181818181818,0.14731862848961083,0.5,0.5568181818181818,,,
mean_of_samples,random,4,3,0.23626426194996042,1.0,0.0,0.0,32,0.0,0.31184673843713945,0.0,0.0,,,
simgp24,random,5,3,0.1472538038166232,1.0,0.6774193548387096,0.8076923076923077,31,0.7011494252873564,0.0957905279994531,0.8333333333333334,0.9195402298850575,0.1,0.6,1.0
simgp_timeblind,random,5,3,0.21773264200609463,1.0,0.2903225806451613,0.45000000000000007,31,0.3448275862068966,0.1504141088607142,0.5,0.5747126436781609,,,
mean_of_samples,random,5,3,0.2579259512726395,1.0,0.0,0.0,31,0.0,0.2768192776901163,0.0,0.0,,,
simgp24,random,6,3,0.1347022472435761,1.0,0.7,0.8235294117647058,30,0.6627906976744186,0.10389624645230676,0.8333333333333334,0.9186046511627907,0.1,0.6,1.0
simgp_timeblind,random,6,3,0.21093520664458762,1.0,0.3,0.4615384615384615,30,0.32558139534883723,0.15492589267551163,0.5,0.46511627906976744,,,
mean_of_samples,random,6,3,0.2556861502639409,1.0,0.0,0.0,30,0.0,0.27852763548819975,0.0,0.0,,,
simgp24,random,7,3,0.10808147097023327,0.96,0.8,0.8727272727272728,30,0.8470588235294118,0.09737600668390445,0.7777777777777778,0.8823529411764706,0.1,1.0,1.0
simgp_timeblind,random,7,3,0.18221637000340177,1.0,0.3,0.4615384615384615,30,0.4823529411764706,0.15936277967202805,0.5,0.4588235294117647,,,
mean_of_samples,random,7,3,0.2608437429741095,1.0,0.0,0.0,30,0.0,0.2769994433359832,0.0,0.0,,,
simgp24,random,8,3,0.10256692467085048,0.96,0.8,0.8727272727272728,30,0.7857142857142857,0.09526850276496461,0.7777777777777778,0.8809523809523809,0.1,1.0,1.0
simgp_timeblind,random,8,3,0.18403772109859898,1.0,0.3,0.4615384615384615,30,0.42857142857142855,0.15827113717307345,0.5,0.44047619047619047,,,
mean_of_samples,random,8,3,0.30332432976006957,1.0,0.0,0.0,30,0.0,0.26617314782061013,0.0,0.0,,,
simgp24,random,9,3,0.08217454222109023,0.9583333333333334,0.7931034482758621,0.8679245283018867,29,0.8313253012048193,0.0963303562741481,0.9411764705882353,0.9397590361445783,0.1,1.0,1.0
simgp_timeblind,random,9,3,0.19351326857313383,1.0,0.3103448275862069,0.4736842105263158,29,0.5301204819277109,0.15458411529953284,0.5294117647058824,0.5421686746987951,,,
mean_of_samples,random,9,3,0.2743281534980594,1.0,0.0,0.0,29,0.0,0.26246997120653154,0.0,0.0,,,
simgp24,random,10,3,0.0875863134206086,1.0,0.7931034482758621,0.8846153846153846,29,0.8048780487804879,0.09352796909894284,0.9411764705882353,0.926829268292683,0.1,1.0,1.0
simgp_timeblind,random,10,3,0.20245439300671586,1.0,0.3103448275862069,0.4736842105263158,29,0.47560975609756095,0.15050208646869492,0.5294117647058824,0.5121951219512195,,,
mean_of_samples,random,10,3,0.2737774084082651,1.0,0.0,0.0,29,0.0,0.26378076551265955,0.0,0.0,,,
simgp24,random,11,3,0.11516083917374928,0.7096774193548387,0.7586206896551724,0.7333333333333333,29,0.43209876543209874,0.10296105290559548,0.8823529411764706,0.8765432098765432,0.1,1.0,1.0
