model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,uncertainty,10,0,0.12820728418165203,0.67578125,1.0,0.8065268065268065,346,0.7144362486828241,0.22339304531085352,0.6217070600632244,0.7818756585879874,0.13766795728535738,0.9675675675675676,0.9146469968387777,0.7,0.3,0.5,1.15,0.9,1.1
simgp24,uncertainty,11,0,0.11306720054879493,0.7006109979633401,0.9971014492753624,0.8229665071770335,345,0.7236286919831224,0.2848101265822785,0.6223628691983122,0.790084388185654,0.14219322127353504,0.9510869565217391,0.9018987341772152,0.7,0.3,1.0,1.15,0.9,1.1
simgp24,uncertainty,12,0,0.08424337437985134,0.8076923076923077,0.9767441860465116,0.8842105263157894,344,0.8078141499472017,0.5702217529039071,0.7317845828933475,0.9049630411826821,0.15694169137189817,0.8907103825136612,0.9060190073917634,0.7,0.1,0.0,1.15,0.9,1.05
simgp24,uncertainty,13,0,0.20172710456921475,0.6305147058823529,1.0,0.7733934611048479,343,0.8847780126849895,0.15644820295983086,0.7071881606765328,0.9260042283298098,0.12435640831878314,0.8626373626373627,0.992600422832981,0.7,0.1,0.0,1.15,0.9,1.1
simgp24,uncertainty,14,0,0.21182029555435727,0.6184448462929476,1.0,0.764245810055866,342,0.8560846560846561,0.14497354497354498,0.6793650793650794,0.9068783068783068,0.12497550283428256,0.8453038674033149,0.9915343915343915,0.55,0.3,1.0,1.15,0.9,1.1
simgp24,uncertainty,15,0,0.21446711637489696,0.5599343185550082,1.0,0.7178947368421053,341,0.8305084745762712,0.0858050847457627,0.4480932203389831,0.9375,0.129851291949814,0.9111111111111111,0.9915254237288136,0.4,0.3,0.5,1.0,0.9,0.95
simgp24,straddle,3,0,0.05539053737498954,0.9697986577181208,0.8186968838526912,0.8878648233486943,353,0.9686192468619247,0.8661087866108786,0.9560669456066946,0.9780334728033473,0.11041979955762588,0.6190476190476191,0.9801255230125523,0.4,0.3,1.0,1.15,1.0,0.9
simgp24,straddle,4,0,0.03896026629615481,0.9403409090909091,0.9403409090909091,0.9403409090909091,352,0.9591623036649215,0.8073298429319372,0.9445026178010472,0.9675392670157068,0.09539709678721761,0.8297872340425532,0.9759162303664921,0.4,0.3,1.0,1.15,1.0,0.9
simgp24,straddle,5,0,0.0441807974195535,0.9623824451410659,0.8746438746438746,0.9164179104477612,351,0.9716981132075472,0.8679245283018868,0.9591194968553459,0.9779874213836478,0.1107553406362685,0.7606382978723404,0.9769392033542977,0.25,0.3,1.0,1.0,0.9,0.9
simgp24,straddle,6,0,0.04107102696031513,0.9475218658892128,0.9285714285714286,0.937950937950938,350,0.9674711437565582,0.8625393494228751,0.9559286463798531,0.974816369359916,0.12869605292778977,0.8235294117647058,0.9643231899265478,0.4,0.3,0.5,1.0,0.9,1.1
simgp24,straddle,7,0,0.04361719290980411,0.8753246753246753,0.9656160458452722,0.9182561307901906,349,0.9600840336134454,0.8371848739495799,0.930672268907563,0.9705882352941176,0.12907612270959204,0.8602150537634409,0.957983193277311,0.4,0.3,0.0,1.0,0.9,1.1
simgp24,straddle,8,0,0.04234412690453019,0.925,0.9568965517241379,0.9406779661016949,348,0.953732912723449,0.843322818086225,0.9284963196635121,0.9674027339642481,0.12833998464674967,0.8494623655913979,0.9484752891692955,0.4,0.3,0.0,1.0,0.9,1.1
simgp24,straddle,9,0,0.04553711335289144,0.8685567010309279,0.9711815561959655,0.9170068027210886,347,0.9505263157894737,0.8073684210526316,0.9168421052631579,0.968421052631579,0.13106441098715585,0.8709677419354839,0.9484210526315789,0.4,0.6,1.0,1.0,0.9,1.1
simgp24,straddle,10,0,0.04427238675693721,0.875,0.9710982658959537,0.9205479452054794,346,0.934668071654373,0.804004214963119,0.9020021074815595,0.9546891464699684,0.13043883599062003,0.8870967741935484,0.9357218124341412,0.4,0.6,1.0,1.0,0.9,1.1
simgp24,straddle,11,0,0.0540046546288574,0.7939110070257611,0.9826086956521739,0.878238341968912,345,0.9240506329113924,0.6888185654008439,0.8955696202531646,0.9535864978902954,0.13518345479372118,0.9086021505376344,0.929324894514768,0.4,0.6,0.5,1.0,0.9,1.1
