model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,map_kb,map_kw,map_gamma
mean_of_samples,random,14,2,0.30639269774074607,0.2427745471537739,1.0,0.0,0.0,16,,,,
nearest_sample,random,14,2,0.24226016010626425,0.15307224289457808,0.25,0.0625,0.1,16,,,,
decay_only,random,14,2,0.15276959630812523,0.12303640708726855,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,15,2,0.04384312295345906,0.025801195558529534,0.9375,0.9375,0.9375,16,0.8831168831168831,0.55,0.6,0.5
physgp_core,random,15,2,0.13411995863146448,0.09312145462564694,0.9333333333333333,0.875,0.9032258064516129,16,0.5324675324675324,,,
physgp_rich,random,15,2,0.1371029287621267,0.09667850290700811,0.875,0.875,0.875,16,0.5974025974025974,,,
simgp_rich,random,15,2,0.04792494760891846,0.033394140359998985,0.9375,0.9375,0.9375,16,0.935064935064935,,,
pinn_rich,random,15,2,0.1381966835483268,0.08701818944544033,1.0,0.125,0.2222222222222222,16,0.5714285714285714,,,
mean_of_samples,random,15,2,0.29939981341163974,0.23671734571480738,1.0,0.0,0.0,16,,,,
nearest_sample,random,15,2,0.1882080493083122,0.11850114540196102,0.25,0.0625,0.1,16,,,,
decay_only,random,15,2,0.15376751291854618,0.12470377673497136,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,uncertainty,3,2,0.06014767416699108,0.052772005839626275,0.7272727272727273,1.0,0.8421052631578948,16,0.9438202247191011,0.1,1.0,0.5
simgp_core,uncertainty,4,2,0.07768394019363839,0.07027257410031006,0.7142857142857143,1.0,0.8333333333333333,15,0.8181818181818182,0.7,0.6,1.0
simgp_core,uncertainty,5,2,0.08054870721312538,0.0703559880658261,0.6363636363636364,1.0,0.7777777777777778,14,0.9425287356321839,0.55,0.6,1.0
simgp_core,uncertainty,6,2,0.08510154475550775,0.07490231025037382,0.6190476190476191,1.0,0.7647058823529412,13,0.9302325581395349,0.7,0.3,1.0
simgp_core,uncertainty,7,2,0.08851072589214856,0.07596277569679104,0.6190476190476191,1.0,0.7647058823529412,13,0.7764705882352941,0.7,0.3,1.0
simgp_core,uncertainty,8,2,0.08215345534285812,0.07118672073626733,0.6190476190476191,1.0,0.7647058823529412,13,0.9404761904761905,0.7,0.3,1.0
simgp_core,uncertainty,9,2,0.07780874720397803,0.06738473423519344,0.6190476190476191,1.0,0.7647058823529412,13,0.9518072289156626,0.7,0.3,1.0
