model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
mean_of_samples,random,11,3,0.31663400359813343,1.0,0.0,0.0,1,0.0,,,,0.3609067842452815,0.0,0.0,,,,,,
simgp24,random,12,3,0.035847803602343506,0.3333333333333333,1.0,0.5,1,1.0,0.8260869565217391,1.0,1.0,0.0986766718370596,0.0,1.0,0.1,0.1,1.0,1.15,0.9,1.0
simgp24_g75,random,12,3,0.0653359148770178,1.0,0.0,0.0,1,0.9565217391304348,0.5217391304347826,0.8260869565217391,1.0,,,,,,,,,
simgp_timeblind,random,12,3,0.28079893343120255,1.0,1.0,1.0,1,0.6086956521739131,,,,0.32327192935635896,1.0,0.8695652173913043,,,,,,
mean_of_samples,random,12,3,0.31614758627339196,1.0,0.0,0.0,1,0.0,,,,0.3616749356369488,0.0,0.0,,,,,,
simgp24,random,13,3,0.04440310985501646,0.3333333333333333,1.0,0.5,1,1.0,0.8181818181818182,1.0,1.0,0.11822153759659988,0.0,1.0,0.1,0.1,1.0,1.15,0.9,1.0
simgp24_g75,random,13,3,0.07591902181596527,1.0,0.0,0.0,1,0.9545454545454546,0.4090909090909091,0.8181818181818182,1.0,,,,,,,,,
simgp_timeblind,random,13,3,0.3531048313979635,1.0,1.0,1.0,1,0.5,,,,0.28183830000625043,1.0,0.9090909090909091,,,,,,
mean_of_samples,random,13,3,0.33449485945805935,1.0,0.0,0.0,1,0.0,,,,0.35229316646636083,0.0,0.0,,,,,,
simgp24,random,14,3,0.034103134521226146,0.3333333333333333,1.0,0.5,1,1.0,0.7619047619047619,1.0,1.0,0.12821238034347376,0.0,1.0,0.1,0.1,1.0,1.15,0.9,1.0
simgp24_g75,random,14,3,0.06442999279808728,1.0,0.0,0.0,1,1.0,0.38095238095238093,0.9047619047619048,1.0,,,,,,,,,
simgp_timeblind,random,14,3,0.3244727061800024,1.0,0.0,0.0,1,0.7142857142857143,,,,0.33520520694956685,0.0,0.8571428571428571,,,,,,
mean_of_samples,random,14,3,0.3259455333439462,1.0,0.0,0.0,1,0.0,,,,0.35666704435948987,0.0,0.0,,,,,,
simgp24,random,15,3,0.06055813787705717,0.0,1.0,0.0,0,1.0,0.65,0.95,1.0,0.15195132356997368,1.0,1.0,0.1,0.1,0.5,1.0,0.9,1.0
simgp24_g75,random,15,3,0.04290309937143295,0.0,1.0,0.0,0,0.9,0.25,0.9,0.9,,,,,,,,,
simgp_timeblind,random,15,3,0.3214292823013952,1.0,1.0,1.0,0,0.65,,,,0.3432375938591767,1.0,0.8,,,,,,
mean_of_samples,random,15,3,0.29542566445061147,1.0,1.0,1.0,0,0.0,,,,0.3659791816379445,1.0,0.0,,,,,,
simgp24,uncertainty,3,3,0.07528066980382302,0.75,1.0,0.8571428571428571,3,1.0,0.96875,1.0,1.0,0.08305290017595894,0.0,1.0,0.1,0.1,0.0,1.0,0.9,1.1
simgp24,uncertainty,4,3,0.08807754689158491,1.0,0.5,0.6666666666666666,2,1.0,0.6451612903225806,0.9354838709677419,1.0,0.206774028763756,0.0,0.967741935483871,0.1,0.1,0.0,1.0,0.9,1.1
simgp24,uncertainty,5,3,0.12026253800698573,1.0,0.0,0.0,2,0.7666666666666667,0.36666666666666664,0.6,0.9666666666666667,0.1682073714351827,0.0,0.9333333333333333,0.1,0.1,0.0,1.0,0.9,1.1
simgp24,uncertainty,6,3,0.10367952724211588,1.0,0.0,0.0,1,0.9655172413793104,0.4482758620689655,0.8275862068965517,1.0,0.15549871115420016,1.0,0.9655172413793104,0.1,0.1,0.0,1.0,0.9,1.1
simgp24,uncertainty,7,3,0.09045657266293514,1.0,1.0,1.0,1,0.9642857142857143,0.75,0.9642857142857143,0.9642857142857143,0.1609254890006599,1.0,0.9642857142857143,0.1,0.1,0.0,1.15,1.0,0.9
