model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,straddle,5,0,0.045447779050400115,1.0,0.8421052631578947,0.9142857142857143,38,1.0,0.6896551724137931,0.9770114942528736,1.0,0.06471632197081219,0.5172413793103449,1.0,0.55,0.6,0.5,1.0,1.1,1.05
simgp24,straddle,6,0,0.06009653690406516,1.0,0.7297297297297297,0.8437499999999999,37,0.9883720930232558,0.5697674418604651,0.9069767441860465,1.0,0.08776772449252748,0.35714285714285715,0.9883720930232558,0.1,0.6,0.5,0.85,1.1,0.95
simgp24,straddle,7,0,0.07058659654607599,1.0,0.7777777777777778,0.8750000000000001,36,1.0,0.6941176470588235,0.9647058823529412,1.0,0.15859965183139035,0.4444444444444444,0.9882352941176471,0.1,0.6,0.0,0.85,1.0,0.95
simgp24,straddle,8,0,0.07860732359945251,1.0,0.6857142857142857,0.8135593220338984,35,0.9761904761904762,0.6547619047619048,0.8333333333333334,1.0,0.14961051544081017,0.38461538461538464,0.9285714285714286,0.1,0.6,0.0,0.85,1.0,1.0
simgp24,straddle,9,0,0.11268212158095152,1.0,0.5882352941176471,0.7407407407407407,34,0.7831325301204819,0.5783132530120482,0.7228915662650602,0.8795180722891566,0.17028545223827074,0.2692307692307692,0.8072289156626506,0.1,0.6,0.0,0.85,1.0,1.0
simgp24,straddle,10,0,0.13135454765599944,1.0,0.8484848484848485,0.9180327868852458,33,0.975609756097561,0.5487804878048781,0.8902439024390244,0.9878048780487805,0.07542511386643565,0.52,0.9634146341463414,0.1,0.6,0.0,0.85,1.0,0.95
simgp24,straddle,11,0,0.19063765788323508,0.7948717948717948,0.96875,0.8732394366197183,32,0.5802469135802469,0.24691358024691357,0.4444444444444444,0.6790123456790124,0.15117363683012008,0.875,0.6790123456790124,0.1,0.6,0.5,0.85,1.0,0.9
simgp24,straddle,12,0,0.18880702216810666,0.7894736842105263,0.967741935483871,0.8695652173913043,31,0.5625,0.25,0.4,0.675,0.15205660724985967,0.875,0.675,0.1,0.6,0.5,0.85,1.0,0.9
simgp24,straddle,13,0,0.18661627838301814,0.8333333333333334,1.0,0.9090909090909091,30,0.5822784810126582,0.21518987341772153,0.43037974683544306,0.6582278481012658,0.13400259286222652,0.8695652173913043,0.7215189873417721,0.7,0.6,1.0,0.85,1.0,1.1
simgp24,straddle,14,0,0.22589927388142395,0.75,1.0,0.8571428571428571,30,0.6025641025641025,0.07692307692307693,0.47435897435897434,0.6923076923076923,0.08140937879901614,0.8260869565217391,1.0,0.55,0.6,1.0,0.85,1.0,1.05
simgp24,straddle,15,0,0.06283974837184747,0.9655172413793104,0.9655172413793104,0.9655172413793104,29,0.8571428571428571,0.38961038961038963,0.6753246753246753,0.935064935064935,0.06146780385647141,0.8181818181818182,0.935064935064935,0.7,0.6,1.0,0.85,1.0,1.1
simgp24,straddle_min,3,0,0.06159778965813648,1.0,0.85,0.9189189189189189,40,1.0,0.7191011235955056,0.9887640449438202,1.0,0.11684678733697705,0.3548387096774194,0.9775280898876404,0.25,0.6,0.0,1.15,0.9,1.0
simgp24,straddle_min,4,0,0.04854005682845282,1.0,0.9487179487179487,0.9736842105263158,39,1.0,0.7954545454545454,1.0,1.0,0.08420548963263796,0.6666666666666666,1.0,0.7,0.6,1.0,0.85,1.0,1.1
simgp24,straddle_min,5,0,0.04816055085193228,1.0,0.9736842105263158,0.9866666666666666,38,1.0,0.7931034482758621,0.9885057471264368,1.0,0.047516740403876385,0.8275862068965517,1.0,0.7,0.6,1.0,0.85,1.0,1.1
simgp24,straddle_min,6,0,0.046724823658028235,1.0,0.972972972972973,0.9863013698630138,37,0.9883720930232558,0.7441860465116279,0.9883720930232558,1.0,0.050311876830933945,0.8214285714285714,1.0,0.55,0.6,1.0,0.85,1.0,1.1
simgp24,straddle_min,7,0,0.048989309096548576,0.9722222222222222,0.9722222222222222,0.9722222222222222,36,1.0,0.6823529411764706,0.9764705882352941,1.0,0.05256789359236024,0.9285714285714286,1.0,0.25,0.6,1.0,0.85,1.0,1.05
simgp24,straddle_min,8,0,0.056006260196216684,0.9444444444444444,0.9714285714285714,0.9577464788732395,35,1.0,0.6428571428571429,0.9047619047619048,1.0,0.0538174427743172,0.9259259259259259,1.0,0.55,0.6,1.0,0.85,1.0,1.1
simgp24,straddle_min,9,0,0.0557597164541092,1.0,0.9705882352941176,0.9850746268656716,34,1.0,0.6144578313253012,0.9397590361445783,1.0,0.04406250695973387,0.9230769230769231,1.0,0.55,0.6,1.0,0.85,1.0,1.1
simgp24,straddle_min,10,0,0.06309794876319531,1.0,0.9696969696969697,0.9846153846153847,33,1.0,0.6097560975609756,0.9146341463414634,1.0,0.053172657232817,0.84,1.0,0.4,0.6,1.0,0.85,0.9,1.1
simgp24,straddle_min,11,0,0.059650488977214464,0.9696969696969697,0.9696969696969697,0.9696969696969697,33,0.9382716049382716,0.6790123456790124,0.8024691358024691,0.9629629629629629,0.05633262628555944,0.84,1.0,0.25,0.6,1.0,0.85,0.9,1.0
simgp24,straddle_min,12,0,0.07841970164492923,0.96875,0.96875,0.96875,32,0.9375,0.5125,0.7875,1.0,0.04382142881243465,0.9583333333333334,1.0,0.4,0.6,1.0,0.85,0.9,1.05
simgp24,straddle_min,13,0,0.07909567341988995,1.0,0.967741935483871,0.9836065573770492,31,0.9746835443037974,0.5189873417721519,0.8860759493670886,1.0,0.04301344949350252,0.9583333333333334,0.9873417721518988,0.4,0.6,1.0,0.85,0.9,1.05
simgp24,straddle_min,14,0,0.06450995008844737,0.9666666666666667,0.9666666666666667,0.9666666666666667,30,0.9487179487179487,0.5512820512820513,0.8846153846153846,1.0,0.05112590513902546,0.9583333333333334,1.0,0.4,0.6,1.0,0.85,0.9,1.05
simgp24,straddle_min,15,0,0.07207525634224735,0.9666666666666667,1.0,0.983050847457627,29,0.922077922077922,0.5324675324675324,0.8441558441558441,0.961038961038961,0.06650893908744573,1.0,0.974025974025974,0.4,0.6,1.0,1.0,1.1,0.9
simgp24,random,3,1,0.05338523391563122,0.9714285714285714,0.918918918918919,0.9444444444444445,37,1.0,0.7191011235955056,1.0,1.0,0.06342198138643088,0.76,0.9887640449438202,0.1,1.0,1.0,0.85,1.0,1.1
simgp24_g75,random,3,1,0.0662834075229615,0.9666666666666667,0.7837837837837838,0.8656716417910447,37,0.7865168539325843,0.5393258426966292,0.7303370786516854,0.8314606741573034,,,,,,,,,
simgp_timeblind,random,3,1,0.2500325748975346,1.0,0.16216216216216217,0.27906976744186046,37,0.3146067415730337,,,,0.19121930552383734,0.24,0.6179775280898876,,,,,,
mean_of_samples,random,3,1,0.3352673782696318,1.0,0.0,0.0,37,0.0,,,,0.2950459480468741,0.0,0.0,,,,,,
simgp24,random,4,1,0.05563588227079229,0.9714285714285714,0.918918918918919,0.9444444444444445,37,1.0,0.6704545454545454,1.0,1.0,0.06414382758045305,0.8,0.9886363636363636,0.1,1.0,1.0,0.85,1.0,1.1
simgp24_g75,random,4,1,0.06936850722653906,0.9655172413793104,0.7567567567567568,0.8484848484848485,37,0.7386363636363636,0.38636363636363635,0.6931818181818182,0.7954545454545454,,,,,,,,,
simgp_timeblind,random,4,1,0.2300544952557542,1.0,0.1891891891891892,0.3181818181818182,37,0.32954545454545453,,,,0.17255427894038225,0.28,0.6704545454545454,,,,,,
mean_of_samples,random,4,1,0.38217205584915553,1.0,0.0,0.0,37,0.0,,,,0.3272308984539686,0.0,0.0,,,,,,
simgp24,random,5,1,0.061043926855209034,0.96875,0.8611111111111112,0.911764705882353,36,0.9885057471264368,0.5747126436781609,0.9425287356321839,1.0,0.07054971356713796,0.5833333333333334,0.9540229885057471,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,5,1,0.06541150530162347,0.9642857142857143,0.75,0.8437499999999999,36,0.6896551724137931,0.3218390804597701,0.5517241379310345,0.7816091954022989,,,,,,,,,
