model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,random,13,6,0.10654249087373882,0.0810103294024115,1.0,0.8,0.888888888888889,10,0.8860759493670886,0.7088607594936709,0.8354430379746836,0.9240506329113924,0.1,0.6,1.0,0.85,1.1,1.05,0.8333333333333334
simgp_core_nogp,random,13,6,0.09598954697815587,0.07382689367770609,1.0,0.6,0.7499999999999999,10,0.9113924050632911,0.43037974683544306,0.7848101265822784,0.9873417721518988,,,,,,,
simgp_core_g75,random,13,6,0.13961633958436223,0.10222948103586374,0.8,0.8,0.8000000000000002,10,0.6835443037974683,0.4810126582278481,0.6582278481012658,0.7468354430379747,,,,,,,
physgp_core,random,13,6,0.22726876904571547,0.16138964334694228,0.7692307692307693,1.0,0.8695652173913044,10,0.7468354430379747,0.43037974683544306,0.7088607594936709,0.759493670886076,,,,,,,
physgp_rich,random,13,6,0.22897807587445712,0.16062249396468808,0.7692307692307693,1.0,0.8695652173913044,10,0.8227848101265823,0.43037974683544306,0.7468354430379747,0.8734177215189873,,,,,,,
simgp_rich,random,13,6,0.09137102757239313,0.05834818416194971,1.0,0.7,0.8235294117647058,10,0.9367088607594937,0.7974683544303798,0.8987341772151899,0.9873417721518988,,,,,,,
mean_of_samples,random,13,6,0.2705031110867891,0.21199812371605384,1.0,0.0,0.0,10,,,,,,,,,,,
nearest_sample,random,13,6,0.19405084434833256,0.14270379493917867,0.3888888888888889,0.7,0.5,10,,,,,,,,,,,
decay_only,random,13,6,0.25425704198617954,0.19462886555286868,0.42857142857142855,0.3,0.3529411764705882,10,,,,,,,,,,,
simgp_core,random,14,6,0.10378888809342697,0.07854979117516418,1.0,0.8,0.888888888888889,10,0.8974358974358975,0.7307692307692307,0.8461538461538461,0.9358974358974359,0.1,0.6,1.0,0.85,1.1,1.05,0.8333333333333334
simgp_core_nogp,random,14,6,0.09646649162982109,0.07424829589016917,1.0,0.6,0.7499999999999999,10,0.9102564102564102,0.38461538461538464,0.7692307692307693,0.9871794871794872,,,,,,,
simgp_core_g75,random,14,6,0.13475901272511162,0.0976994935213493,0.8,0.8,0.8000000000000002,10,0.7564102564102564,0.5641025641025641,0.7051282051282052,0.7692307692307693,,,,,,,
physgp_core,random,14,6,0.2233540548715173,0.1563191266500338,0.7692307692307693,1.0,0.8695652173913044,10,0.7948717948717948,0.46153846153846156,0.7307692307692307,0.8076923076923077,,,,,,,
physgp_rich,random,14,6,0.21559737237144963,0.14006933944097186,0.7692307692307693,1.0,0.8695652173913044,10,0.8333333333333334,0.5128205128205128,0.7307692307692307,0.8461538461538461,,,,,,,
simgp_rich,random,14,6,0.10095204735895666,0.073078352027919,1.0,0.8,0.888888888888889,10,0.9102564102564102,0.7435897435897436,0.8717948717948718,0.9743589743589743,,,,,,,
mean_of_samples,random,14,6,0.2728846716660016,0.2142635192613146,1.0,0.0,0.0,10,,,,,,,,,,,
nearest_sample,random,14,6,0.1952425202164597,0.1440416791397725,0.3888888888888889,0.7,0.5,10,,,,,,,,,,,
decay_only,random,14,6,0.2530453911585133,0.1937506054323989,0.42857142857142855,0.3,0.3529411764705882,10,,,,,,,,,,,
simgp_core,random,15,6,0.10449946148739701,0.07911154683003523,1.0,0.8,0.888888888888889,10,0.8961038961038961,0.7272727272727273,0.8311688311688312,0.935064935064935,0.1,0.6,1.0,0.85,1.1,1.05,0.8333333333333334
simgp_core_nogp,random,15,6,0.09680415264148229,0.07432884781572967,1.0,0.6,0.7499999999999999,10,0.9090909090909091,0.4025974025974026,0.7402597402597403,0.987012987012987,,,,,,,
simgp_core_g75,random,15,6,0.13502464195424482,0.0974741752599465,0.8,0.8,0.8000000000000002,10,0.7402597402597403,0.5454545454545454,0.7012987012987013,0.7662337662337663,,,,,,,
physgp_core,random,15,6,0.20672447057182985,0.15153000208961057,0.7142857142857143,1.0,0.8333333333333333,10,0.7792207792207793,0.44155844155844154,0.7402597402597403,0.8051948051948052,,,,,,,
physgp_rich,random,15,6,0.18903827296913148,0.13219131917216448,0.7142857142857143,1.0,0.8333333333333333,10,0.7922077922077922,0.5194805194805194,0.7532467532467533,0.8181818181818182,,,,,,,
simgp_rich,random,15,6,0.1013607934822761,0.07353314755420601,1.0,0.8,0.888888888888889,10,0.922077922077922,0.7012987012987013,0.8831168831168831,0.961038961038961,,,,,,,
pinn_rich,random,15,6,0.1354069998182808,0.0979786458455161,1.0,0.4,0.5714285714285715,10,0.36363636363636365,0.16883116883116883,0.3116883116883117,0.4025974025974026,,,,,,,
mean_of_samples,random,15,6,0.2737121148482675,0.2186586840472652,1.0,0.0,0.0,10,,,,,,,,,,,
nearest_sample,random,15,6,0.18527329424836006,0.138449447741856,0.3888888888888889,0.7,0.5,10,,,,,,,,,,,
decay_only,random,15,6,0.2381891581596312,0.18530587534556583,0.42857142857142855,0.3,0.3529411764705882,10,,,,,,,,,,,
